dim0,dim1,dim2,dim3,dim4,dim5,dim6,dim7,dim8,dim9,dim10,dim11,dim12,dim13,dim14,dim15,dim16,dim17,dim18,dim19,dim20,dim21,dim22,dim23,dim24,dim25,dim26,dim27,dim28,dim29,dim30,dim31,dim32,dim33,dim34,dim35,dim36,dim37,dim38,dim39,dim40,dim41,dim42,dim43,dim44,dim45,dim46,dim47,dim48,dim49,dim50,dim51,dim52,dim53,dim54,dim55,dim56,dim57,dim58,dim59,dim60,dim61,dim62,dim63,name
-10.777349,-7.340558,-9.098587,1.9295442,0.0810131,-4.101715,-6.040258,2.3834717,-4.0798135,4.026243,5.8667626,0.060649816,4.335313,0.08457694,4.337963,0.7178859,1.519734,-2.1453588,2.107594,4.182598,-1.116487,-1.5585629,0.60669345,-0.091563575,-0.45576453,-1.498577,6.3724847,-2.3810713,0.3383785,1.8184309,-1.9666699,-2.4777055,3.4021237,0.56901073,-1.035177,3.386019,4.2711434,1.2597841,-1.2167519,-0.95990276,-0.76191807,0.8213711,2.580164,0.17845516,-2.4281754,-0.6298479,0.77589935,-1.459141,-0.865757,1.8295796,-0.9427796,-1.1984922,-1.7872739,-1.5939729,-0.077409685,-1.5748091,2.0383341,-1.0389719,-0.74020493,1.7883968,0.7500161,0.7068857,0.07658783,1.734099,756498V2Q302819.jpg
2.2196152,-6.935124,-6.6793556,5.4063864,-4.725038,3.1217754,0.9698355,4.3231764,2.6386058,-12.460215,-6.804344,-0.10336998,1.0118178,-1.4082943,2.7234426,-0.25398538,-1.3520216,-2.4959588,3.5827885,1.6619087,-7.6800838,-3.5098636,-5.7580194,-2.6004028,8.770794,5.360993,-0.19392017,-0.7379467,-2.476027,1.4059441,-0.85045403,-0.86943895,-1.5073892,-0.081305124,0.6625823,5.2070627,-3.4725344,-4.1678557,-0.96564656,-0.011166193,2.2621439,0.12033987,-2.015175,-0.91143274,-0.26429698,-2.7246053,1.6981428,0.46027228,1.9173274,2.68095,-0.94780004,-1.4283488,0.34752208,-1.5482748,0.9064644,2.7163558,1.4045419,0.16937445,3.3857555,0.13497883,0.48087227,-1.1669695,0.13074145,-0.4851327,756522V44508118.jpg
25.192251,-0.33007464,-13.052155,-14.978618,2.6319516,-7.886779,5.3289948,-2.2125616,-2.1088057,1.2484533,-0.44368136,-1.0246717,-2.875638,4.517172,-1.1895936,-4.264355,-1.579841,1.2840868,-7.756668,1.5753602,0.08970576,3.5331924,2.1655247,0.83992046,2.3672078,-0.62157184,1.2922525,1.4823709,7.04062,3.9519558,1.5135642,0.69519985,4.157223,2.253168,-0.9565216,-0.228096,-2.4788706,-1.2351705,-1.2340587,-2.6077542,5.6907725,1.7253923,4.164182,-0.7546811,0.7469656,-1.7824713,0.7899541,1.3538809,3.085862,-2.853928,-0.35442367,-3.2495148,2.2359307,-0.6140242,0.6214798,-1.0090646,-1.9732264,1.0121301,0.59774727,-0.056195684,-0.0901937,-0.45336792,0.8821644,1.231049,769205V2Q301229.jpg
14.882717,2.719817,-3.7984686,-2.9587338,0.08503439,-11.08984,-0.14269239,-10.957275,8.299745,2.7720034,-3.5599449,-0.5286977,-3.8334856,-1.4305713,0.39687788,1.608629,-0.17069103,-1.583078,1.3536499,1.3688678,0.5651968,-2.5376759,-2.205578,-2.8726664,-0.7243538,-2.1209202,-1.1115241,1.0785673,-1.6647673,0.5921472,-1.6386302,-2.689842,-0.744114,2.584486,1.6760083,-0.90534323,1.2134458,3.9918585,1.7323347,0.92606044,-0.44419688,3.0368702,2.3767357,0.9301414,1.4145045,-1.3685776,-0.38050815,-0.03642694,-0.67478365,0.08216126,-1.9843524,0.64566034,1.1661226,2.26097,-0.16836408,0.59521353,1.7180351,-0.22553945,2.0275195,1.4203758,-0.2690782,-0.19257215,1.9387177,0.7296201,769205V2Q301281.jpg
2.3467836,-4.152002,-0.59430486,-1.4199921,-4.0672574,-8.336376,1.7476583,-8.071439,14.115308,-8.883657,-1.417688,4.692082,-2.7512798,0.2193999,-1.4380555,0.8442034,-0.50859106,-1.4444702,1.0248471,1.9304855,0.94611454,-4.661836,-2.0503824,3.4966338,0.76984805,0.26685807,0.8047086,-2.417736,-0.2414297,-1.7443302,-2.5748005,1.190538,2.8430333,-1.6393031,-0.7906955,-4.249431,5.19119,-0.8268665,-1.4963404,-2.2941163,3.2188892,1.9806459,-0.18634734,-0.2906725,2.374891,0.98572505,1.8361104,2.8773003,-2.320024,0.68302995,1.8728974,0.8944055,-0.719872,-3.1791248,0.1586628,2.1642022,-0.7360441,2.2113507,0.40856275,-2.1694489,-0.3658679,0.78481805,1.4965041,-0.3690788,769205V2Q301317.jpg
7.3812704,-4.721087,-6.2907476,-4.557512,0.48619643,-8.21758,1.3654613,-7.628093,9.046633,-0.14950381,-4.9725466,1.6463706,-5.2567153,-2.097747,-2.7045956,2.4223847,-5.096764,1.0400549,1.1514008,1.798425,0.4607021,-3.8089752,-2.834428,1.3380475,0.04933442,1.3962276,3.9275606,-0.5844877,0.1569728,0.67087966,1.0597558,-0.42505938,3.0448866,6.526068,3.5438287,0.22925913,0.6736095,1.5816132,3.8082387,4.0977025,-1.4058708,-0.9137614,-2.0146465,-0.45553595,-4.1883883,1.5053796,1.6996968,-2.5152783,0.7711934,-3.7851105,-2.068972,-0.63250667,-0.888582,-1.2146837,-0.8994115,1.5637462,-0.8630591,-2.1144724,-1.1185875,-3.198056,2.0839963,-0.6081122,-0.2128879,-0.37345433,769205V2Q301513.jpg
-0.35314587,5.889693,-0.1926186,6.26179,1.9398781,-14.614493,-2.0451584,-8.919545,17.8924,-6.0812063,-0.84274,0.57131183,-3.7286437,2.1896305,-0.4680663,1.0097966,-5.239975,-5.3454185,-0.41992182,-5.548551,-2.366471,-0.620716,-1.0527393,2.1855233,-1.5398588,-4.115002,1.1912078,2.064145,5.945725,-0.25642946,-5.6836023,-0.22698127,1.137513,-1.0700214,-1.7176026,-0.1667516,-3.9366107,3.7044334,-3.6374068,0.42104095,-3.2792568,-0.80341375,-1.6422174,0.8358556,3.2048666,-1.6507056,-0.020080488,-0.1385572,1.9622687,1.0733579,0.7152882,0.1582546,-0.33511552,1.62316,2.1153662,-1.1368554,0.6800812,-0.6257895,-1.725088,1.7489915,-0.33707312,1.5321538,-2.6533146,1.1966394,769205V2Q302901.jpg
9.051091,-0.4620151,0.2196823,-2.6827562,0.9879863,-4.2152247,3.4570327,-11.577586,1.1642337,1.3203628,6.1616306,-1.4625435,-2.7278197,-1.4400318,5.8700066,6.734085,6.982512,2.843809,2.0822368,2.8034968,3.2763965,-2.1994574,3.0225463,-0.96981597,-2.7262008,0.24320537,-6.400967,-0.9719884,-1.2419214,2.8588395,-1.6568501,2.4810908,1.0167367,-1.2933855,0.4365947,-0.08946083,-3.4964,-0.2846489,-0.8497991,-2.128257,2.6698656,0.9555174,-0.7210526,0.8146496,-1.5578482,-0.6486133,-0.47568986,-0.12156314,-0.5378713,-0.02747776,1.8691462,-2.8951018,-2.6104367,-1.750428,-1.0186168,1.1721629,-0.32263398,-4.612432,0.98112696,2.859846,0.10717581,1.2265269,0.83776414,-0.6219471,769232V2Q301308.jpg
-5.838004,-9.933569,2.8575783,-3.3376968,3.278321,4.0304604,-0.0020909172,0.8666016,2.6332734,-3.399429,-3.7452183,0.3514512,-6.8561215,-1.1438363,2.8512797,-0.066335455,5.443588,1.6766611,-2.0126321,-2.266712,5.343693,0.12285419,-0.08127716,1.633532,1.7758331,-0.21352038,2.0521898,3.3093092,-1.4759911,1.8659097,-1.9466451,0.31929627,0.32163477,1.159668,0.42574245,1.8969245,0.15024157,0.77424777,2.8468204,-1.9999974,-0.6889315,-0.21700524,0.80616504,-4.030664,0.55690837,3.1857584,-0.42771655,0.87214047,-0.104031555,0.24467999,-1.2145607,1.6723118,-0.21923298,1.6626881,1.1137174,0.16018094,-1.8033633,-0.159408,-0.5396244,0.20991705,-0.78382635,-0.4808656,2.0070777,-0.107639134,770648V23301423.jpg
-11.382602,-7.683943,0.9474217,-0.7192243,2.9125888,-5.873855,-6.8453927,1.3408133,2.057861,-2.613298,0.5804409,2.269797,-0.52996343,2.2671225,-4.1171494,-4.056262,5.6041236,2.6101394,-0.57702535,-0.6982424,0.91765505,-3.8125074,0.6710225,1.6942008,2.3393466,1.4072626,-0.0068308907,-0.27796176,-3.7979221,-4.083699,-1.5656462,6.470036,1.1847336,5.7717195,2.8067744,-0.7227045,-1.3198651,-1.1706023,-2.347555,-2.3405712,0.026981572,2.1168284,0.052061643,1.7390171,-0.6374188,2.1144814,-2.19241,0.24466427,-1.0708483,0.07228602,-0.2751692,2.8127933,1.3371893,2.361387,-0.43896276,-2.3575466,-1.0019262,-0.9858377,1.1245166,0.66303647,-0.055156387,-2.1741376,-0.576157,-1.4404072,770648V23301511.jpg
